L,mc,T,Jhash,observable,parameter,value
32,9,0.900000,352c5017,"Correlation",7,0.694490
32,9,0.900000,352c5017,"Correlation",8,0.692057
32,9,0.900000,352c5017,"Correlation",9,0.677409
32,9,0.900000,352c5017,"Correlation",10,0.673090
32,9,0.900000,352c5017,"Correlation",12,0.659607
32,9,0.900000,352c5017,"Correlation",14,0.642761
32,9,0.900000,352c5017,"Correlation",16,0.631031
32,9,0.900000,352c5017,"Correlation",19,0.612799
32,9,0.900000,352c5017,"Correlation",22,0.600891
32,9,0.900000,352c5017,"Correlation",25,0.587248
32,9,0.900000,352c5017,"Correlation",29,0.575503
32,9,0.900000,352c5017,"Correlation",33,0.563764
32,9,0.900000,352c5017,"Correlation",39,0.547610
32,9,0.900000,352c5017,"Correlation",44,0.535075
32,9,0.900000,352c5017,"Correlation",51,0.524542
32,9,0.900000,352c5017,"Correlation",59,0.508138
32,9,0.900000,352c5017,"Correlation",68,0.498433
32,9,0.900000,352c5017,"Correlation",79,0.483416
32,9,0.900000,352c5017,"Correlation",91,0.474060
32,9,0.900000,352c5017,"Correlation",104,0.457894
32,9,0.900000,352c5017,"Correlation",120,0.443862
32,9,0.900000,352c5017,"Correlation",138,0.432402
32,9,0.900000,352c5017,"Correlation",159,0.418161
32,9,0.900000,352c5017,"Correlation",184,0.407735
32,9,0.900000,352c5017,"Correlation",212,0.394232
32,9,0.900000,352c5017,"Correlation",244,0.380482
32,9,0.900000,352c5017,"Correlation",281,0.368507
32,9,0.900000,352c5017,"Correlation",323,0.359506
32,9,0.900000,352c5017,"Correlation",372,0.347842
32,9,0.900000,352c5017,"Correlation",429,0.335475
32,9,0.900000,352c5017,"Correlation",494,0.326274
32,9,0.900000,352c5017,"Correlation",568,0.317987
32,9,0.900000,352c5017,"Correlation",655,0.310463
32,9,0.900000,352c5017,"Correlation",754,0.301630
32,9,0.900000,352c5017,"Correlation",868,0.290975
32,9,0.900000,352c5017,"Correlation",1000,0.285171
32,10,0.900000,352c5017,"Correlation",1,0.809588
32,10,0.900000,352c5017,"Correlation",2,0.785543
32,10,0.900000,352c5017,"Correlation",3,0.759391
32,10,0.900000,352c5017,"Correlation",4,0.754732
32,10,0.900000,352c5017,"Correlation",5,0.727150
32,10,0.900000,352c5017,"Correlation",6,0.726923
32,10,0.900000,352c5017,"Correlation",7,0.705558
32,10,0.900000,352c5017,"Correlation",8,0.700971
32,10,0.900000,352c5017,"Correlation",9,0.687608
32,10,0.900000,352c5017,"Correlation",10,0.682934
32,10,0.900000,352c5017,"Correlation",12,0.671634
32,10,0.900000,352c5017,"Correlation",14,0.654372
32,10,0.900000,352c5017,"Correlation",16,0.643218
32,10,0.900000,352c5017,"Correlation",19,0.624747
32,10,0.900000,352c5017,"Correlation",22,0.612354
32,10,0.900000,352c5017,"Correlation",25,0.600618
32,10,0.900000,352c5017,"Correlation",29,0.588019
32,10,0.900000,352c5017,"Correlation",33,0.576538
32,10,0.900000,352c5017,"Correlation",39,0.560082
32,10,0.900000,352c5017,"Correlation",44,0.549813
32,10,0.900000,352c5017,"Correlation",51,0.536604
32,10,0.900000,352c5017,"Correlation",59,0.519520
32,10,0.900000,352c5017,"Correlation",68,0.508812
32,10,0.900000,352c5017,"Correlation",79,0.495951
32,10,0.900000,352c5017,"Correlation",91,0.486633
32,10,0.900000,352c5017,"Correlation",104,0.469732
32,10,0.900000,352c5017,"Correlation",120,0.457011
32,10,0.900000,352c5017,"Correlation",138,0.443810
32,10,0.900000,352c5017,"Correlation",159,0.431115
32,10,0.900000,352c5017,"Correlation",184,0.417300
32,10,0.900000,352c5017,"Correlation",212,0.405701
32,10,0.900000,352c5017,"Correlation",244,0.391145
32,10,0.900000,352c5017,"Correlation",281,0.379778
32,10,0.900000,352c5017,"Correlation",323,0.368635
32,10,0.900000,352c5017,"Correlation",372,0.357556
32,10,0.900000,352c5017,"Correlation",429,0.344828
32,10,0.900000,352c5017,"Correlation",494,0.335696
32,10,0.900000,352c5017,"Correlation",568,0.326960
32,10,0.900000,352c5017,"Correlation",655,0.318080
32,10,0.900000,352c5017,"Correlation",754,0.309800
32,10,0.900000,352c5017,"Correlation",868,0.298203
32,10,0.900000,352c5017,"Correlation",1000,0.294637
32,12,0.900000,352c5017,"Correlation",1,0.814035
32,12,0.900000,352c5017,"Correlation",2,0.794047
32,12,0.900000,352c5017,"Correlation",3,0.768767
32,12,0.900000,352c5017,"Correlation",4,0.765343
32,12,0.900000,352c5017,"Correlation",5,0.738235
32,12,0.900000,352c5017,"Correlation",6,0.738950
32,12,0.900000,352c5017,"Correlation",7,0.716541
32,12,0.900000,352c5017,"Correlation",8,0.716704
32,12,0.900000,352c5017,"Correlation",9,0.704197
32,12,0.900000,352c5017,"Correlation",10,0.700300
32,12,0.900000,352c5017,"Correlation",12,0.686317
32,12,0.900000,352c5017,"Correlation",14,0.671058
32,12,0.900000,352c5017,"Correlation",16,0.658924
32,12,0.900000,352c5017,"Correlation",19,0.641355
32,12,0.900000,352c5017,"Correlation",22,0.629694
32,12,0.900000,352c5017,"Correlation",25,0.619736
32,12,0.900000,352c5017,"Correlation",29,0.605783
32,12,0.900000,352c5017,"Correlation",33,0.594122
32,12,0.900000,352c5017,"Correlation",39,0.578610
32,12,0.900000,352c5017,"Correlation",44,0.568883
32,12,0.900000,352c5017,"Correlation",51,0.555856
32,12,0.900000,352c5017,"Correlation",59,0.539530
32,12,0.900000,352c5017,"Correlation",68,0.527748
32,12,0.900000,352c5017,"Correlation",79,0.515503
32,12,0.900000,352c5017,"Correlation",91,0.505168
32,12,0.900000,352c5017,"Correlation",104,0.486901
32,12,0.900000,352c5017,"Correlation",120,0.471999
32,12,0.900000,352c5017,"Correlation",138,0.460080
32,12,0.900000,352c5017,"Correlation",159,0.445310
32,12,0.900000,352c5017,"Correlation",184,0.433829
32,12,0.900000,352c5017,"Correlation",212,0.419355
32,12,0.900000,352c5017,"Correlation",244,0.406785
32,12,0.900000,352c5017,"Correlation",281,0.394517
32,12,0.900000,352c5017,"Correlation",323,0.383963
32,12,0.900000,352c5017,"Correlation",372,0.371332
32,12,0.900000,352c5017,"Correlation",429,0.358686
32,12,0.900000,352c5017,"Correlation",494,0.351949
32,12,0.900000,352c5017,"Correlation",568,0.339739
32,12,0.900000,352c5017,"Correlation",655,0.331880
32,12,0.900000,352c5017,"Correlation",754,0.323155
32,12,0.900000,352c5017,"Correlation",868,0.311390
32,12,0.900000,352c5017,"Correlation",1000,0.306989
32,14,0.900000,352c5017,"Correlation",1,0.817540
32,14,0.900000,352c5017,"Correlation",2,0.800403
32,14,0.900000,352c5017,"Correlation",3,0.776068
32,14,0.900000,352c5017,"Correlation",4,0.773388
32,14,0.900000,352c5017,"Correlation",5,0.746707
32,14,0.900000,352c5017,"Correlation",6,0.749462
32,14,0.900000,352c5017,"Correlation",7,0.728266
32,14,0.900000,352c5017,"Correlation",8,0.729408
32,14,0.900000,352c5017,"Correlation",9,0.714483
32,14,0.900000,352c5017,"Correlation",10,0.710048
32,14,0.900000,352c5017,"Correlation",12,0.699463
32,14,0.900000,352c5017,"Correlation",14,0.682161
32,14,0.900000,352c5017,"Correlation",16,0.673322
32,14,0.900000,352c5017,"Correlation",19,0.654088
32,14,0.900000,352c5017,"Correlation",22,0.646842
32,14,0.900000,352c5017,"Correlation",25,0.634027
32,14,0.900000,352c5017,"Correlation",29,0.622158
32,14,0.900000,352c5017,"Correlation",33,0.610267
32,14,0.900000,352c5017,"Correlation",39,0.592991
32,14,0.900000,352c5017,"Correlation",44,0.585394
32,14,0.900000,352c5017,"Correlation",51,0.568981
32,14,0.900000,352c5017,"Correlation",59,0.555690
32,14,0.900000,352c5017,"Correlation",68,0.545131
32,14,0.900000,352c5017,"Correlation",79,0.530355
32,14,0.900000,352c5017,"Correlation",91,0.519142
32,14,0.900000,352c5017,"Correlation",104,0.503060
32,14,0.900000,352c5017,"Correlation",120,0.488156
32,14,0.900000,352c5017,"Correlation",138,0.476034
32,14,0.900000,352c5017,"Correlation",159,0.461222
32,14,0.900000,352c5017,"Correlation",184,0.448332
32,14,0.900000,352c5017,"Correlation",212,0.432614
32,14,0.900000,352c5017,"Correlation",244,0.418948
32,14,0.900000,352c5017,"Correlation",281,0.407697
32,14,0.900000,352c5017,"Correlation",323,0.399071
32,14,0.900000,352c5017,"Correlation",372,0.385385
32,14,0.900000,352c5017,"Correlation",429,0.371437
32,14,0.900000,352c5017,"Correlation",494,0.364560
32,14,0.900000,352c5017,"Correlation",568,0.351647
32,14,0.900000,352c5017,"Correlation",655,0.342808
32,14,0.900000,352c5017,"Correlation",754,0.334868
32,14,0.900000,352c5017,"Correlation",868,0.322914
32,14,0.900000,352c5017,"Correlation",1000,0.316900
32,16,0.900000,352c5017,"Correlation",1,0.819868
32,16,0.900000,352c5017,"Correlation",2,0.803412
32,16,0.900000,352c5017,"Correlation",3,0.780433
32,16,0.900000,352c5017,"Correlation",4,0.778829
32,16,0.900000,352c5017,"Correlation",5,0.753331
32,16,0.900000,352c5017,"Correlation",6,0.757490
32,16,0.900000,352c5017,"Correlation",7,0.734863
32,16,0.900000,352c5017,"Correlation",8,0.734671
32,16,0.900000,352c5017,"Correlation",9,0.721133
32,16,0.900000,352c5017,"Correlation",10,0.718750
