"mc","physicist","E","T","L"
431.0,"Sergio (replica A)",-0.56640625,0.6,8
432.0,"Sergio (replica A)",-0.56640625,0.6,8
433.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
434.0,"Sergio (replica A)",-0.56640625,0.6,8
435.0,"Sergio (replica A)",-0.56640625,0.6,8
436.0,"Sergio (replica A)",-0.56640625,0.6,8
437.0,"Sergio (replica A)",-0.56640625,0.6,8
438.0,"Sergio (replica A)",-0.56640625,0.6,8
439.0,"Sergio (replica A)",-0.56640625,0.6,8
441.0,"Sergio (replica A)",-0.56640625,0.6,8
443.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
446.0,"Sergio (replica A)",-0.56640625,0.6,8
449.0,"Sergio (replica A)",-0.56640625,0.6,8
452.0,"Sergio (replica A)",-0.56640625,0.6,8
456.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
462.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
468.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
469.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
471.0,"Sergio (replica A)",-0.56640625,0.6,8
475.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
483.0,"Sergio (replica A)",-0.56640625,0.6,8
485.0,"Sergio (replica A)",-0.5611979166666666,0.6,8
490.0,"Sergio (replica A)",-0.56640625,0.6,8
494.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
506.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
512.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
513.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
514.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
515.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
516.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
517.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
518.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
519.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
520.0,"Sergio (replica A)",-0.56640625,0.6,8
521.0,"Sergio (replica A)",-0.56640625,0.6,8
523.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
525.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
528.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
531.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
534.0,"Sergio (replica A)",-0.56640625,0.6,8
537.0,"Sergio (replica A)",-0.5690104166666666,0.6,8
538.0,"Sergio (replica A)",-0.56640625,0.6,8
543.0,"Sergio (replica A)",-0.56640625,0.6,8
544.0,"Sergio (replica A)",-0.5638020833333334,0.6,8
