,mc,parameter,observable,value,T,β(1-C)
237,4,13,Correlation,0.525422999333333,0.9000000000000099,0.5273077785185131
238,4,14,Correlation,0.5200781180000007,0.9000000000000099,0.5332465355555489
239,4,15,Correlation,0.5126124846666665,0.9000000000000099,0.5415416837036979
240,4,16,Correlation,0.5075647273333336,0.9000000000000099,0.5471503029629566
241,4,17,Correlation,0.5004278326666666,0.9000000000000099,0.5550801859259199
242,4,18,Correlation,0.4964533653333331,0.9000000000000099,0.5594962607407348
243,4,20,Correlation,0.4866124826666669,0.9000000000000099,0.5704305748148083
244,4,21,Correlation,0.4813668100000006,0.9000000000000099,0.576259099999993
245,4,23,Correlation,0.4733201900000003,0.9000000000000099,0.585199788888882
246,4,24,Correlation,0.47010739666666645,0.9000000000000099,0.588769559259253
247,4,26,Correlation,0.4623417593333331,0.9000000000000099,0.5973980451851789
248,4,28,Correlation,0.45600558999999996,0.9000000000000099,0.6044382333333267
249,4,30,Correlation,0.44965649600000024,0.9000000000000099,0.6114927822222153
250,4,32,Correlation,0.4442168993333339,0.9000000000000099,0.617536778518511
251,4,35,Correlation,0.43578460999999935,0.9000000000000099,0.6269059888888827
252,4,37,Correlation,0.43089309999999964,0.9000000000000099,0.6323409999999935
253,4,40,Correlation,0.42426909600000073,0.9000000000000099,0.6397010044444366
254,4,43,Correlation,0.4174158013333327,0.9000000000000099,0.6473157762962899
255,4,46,Correlation,0.4122126740000003,0.9000000000000099,0.6530970288888814
256,4,49,Correlation,0.40657490066666613,0.9000000000000099,0.6593612214814748
257,4,53,Correlation,0.4001579966666665,0.9000000000000099,0.6664911148148076
258,4,57,Correlation,0.39399143933333314,0.9000000000000099,0.673342845185178
259,4,61,Correlation,0.3881065313333335,0.9000000000000099,0.6798816318518441
260,4,65,Correlation,0.38314643799999926,0.9000000000000099,0.68539284666666
261,4,70,Correlation,0.37793154466666656,0.9000000000000099,0.6911871725925851
262,4,75,Correlation,0.3727189846666668,0.9000000000000099,0.6969789059259182
263,4,81,Correlation,0.3664362526666671,0.9000000000000099,0.703959719259251
264,4,86,Correlation,0.36191194799999993,0.9000000000000099,0.7089867244444368
265,4,93,Correlation,0.35598238133333354,0.9000000000000099,0.7155751318518437
266,4,100,Correlation,0.3506133480000001,0.9000000000000099,0.7215407244444364
267,4,107,Correlation,0.34521180066666746,0.9000000000000099,0.7275424437036948
268,4,114,Correlation,0.34073066066666685,0.9000000000000099,0.7325214881481398
269,4,123,Correlation,0.3352760373333337,0.9000000000000099,0.7385821807407322
270,4,132,Correlation,0.3299203926666668,0.9000000000000099,0.7445328970370287
271,4,141,Correlation,0.3250590299999998,0.9000000000000099,0.749934411111103
272,4,151,Correlation,0.3197654833333337,0.9000000000000099,0.755816129629621
273,4,162,Correlation,0.3153585146666666,0.9000000000000099,0.7607127614814732
274,4,174,Correlation,0.31054575866666634,0.9000000000000099,0.7660602681481401
275,4,187,Correlation,0.30599950066666676,0.9000000000000099,0.7711116659259174
276,4,200,Correlation,0.30167870133333335,0.9000000000000099,0.7759125540740656
277,4,215,Correlation,0.29690885333333333,0.9000000000000099,0.7812123851851767
278,4,231,Correlation,0.29196007199999985,0.9000000000000099,0.7867110311111026
279,4,247,Correlation,0.28788988533333365,0.9000000000000099,0.7912334607407318
280,4,265,Correlation,0.2830875499999998,0.9000000000000099,0.7965693888888803
281,4,284,Correlation,0.27940674666666665,0.9000000000000099,0.8006591703703616
282,4,305,Correlation,0.2745126466666667,0.9000000000000099,0.8060970592592503
283,4,327,Correlation,0.270405871333333,0.9000000000000099,0.8106601429629544
284,4,351,Correlation,0.26623029000000026,0.9000000000000099,0.8152996777777686
285,4,376,Correlation,0.26232490333333325,0.9000000000000099,0.8196389962962873
286,4,403,Correlation,0.2579578360000001,0.9000000000000099,0.8244912933333242
287,4,432,Correlation,0.2543115119999999,0.9000000000000099,0.8285427644444354
288,4,464,Correlation,0.25047171666666673,0.9000000000000099,0.8328092037036944
289,4,497,Correlation,0.24649566533333347,0.9000000000000099,0.8372270385185092
290,4,533,Correlation,0.24281002533333318,0.9000000000000099,0.8413221940740649
291,4,572,Correlation,0.2389296919999998,0.9000000000000099,0.8456336755555465
292,4,613,Correlation,0.2356811619999997,0.9000000000000099,0.8492431533333243
293,4,657,Correlation,0.2320032266666667,0.9000000000000099,0.8533297481481387
294,4,705,Correlation,0.22840413933333284,0.9000000000000099,0.8573287340740652
295,4,756,Correlation,0.22521987999999973,0.9000000000000099,0.8608667999999908
296,4,811,Correlation,0.2220002466666665,0.9000000000000099,0.864444170370361
297,4,869,Correlation,0.21834697333333358,0.9000000000000099,0.868503362962953
298,4,932,Correlation,0.21498648333333353,0.9000000000000099,0.872237240740731
299,4,1000,Correlation,0.2114959126666666,0.9000000000000099,0.8761156525925831
300,5,1,Correlation,0.7733968213333334,0.9000000000000099,0.25178130962962675
301,5,2,Correlation,0.7308438706666652,0.9000000000000099,0.2990623659259242
302,5,3,Correlation,0.6946604660000003,0.9000000000000099,0.3392661488888848
303,5,4,Correlation,0.6805995773333342,0.9000000000000099,0.35488935851851366
304,5,5,Correlation,0.6516618413333338,0.9000000000000099,0.38704239851851374
305,5,6,Correlation,0.6444811313333327,0.9000000000000099,0.3950209651851815
306,5,7,Correlation,0.6228307319999998,0.9000000000000099,0.41907696444444004
307,5,8,Correlation,0.615860249333333,0.9000000000000099,0.4268219451851808
308,5,9,Correlation,0.6010707999999998,0.9000000000000099,0.443254666666662
309,5,10,Correlation,0.5936245073333329,0.9000000000000099,0.45152832518518066
310,5,11,Correlation,0.5814143139999997,0.9000000000000099,0.46509520666666193
311,5,12,Correlation,0.5772986026666672,0.9000000000000099,0.4696682192592535
312,5,13,Correlation,0.5663091466666668,0.9000000000000099,0.4818787259259205
