,mc,parameter,observable,value,T,β(1-C)
68,1,657,Correlation,0.8073585159999995,0.5,0.38528296800000095
69,1,705,Correlation,0.8064725926666669,0.5,0.38705481466666614
70,1,756,Correlation,0.8081782006666666,0.5,0.38364359866666686
71,1,811,Correlation,0.803206862000001,0.5,0.39358627599999796
72,1,869,Correlation,0.8022723319999997,0.5,0.3954553360000006
73,1,932,Correlation,0.8031328360000002,0.5,0.39373432799999963
74,1,1000,Correlation,0.8021893540000008,0.5,0.3956212919999984
75,2,1,Correlation,0.8661256246666661,0.5,0.2677487506666678
76,2,2,Correlation,0.8748509420000014,0.5,0.2502981159999973
77,2,3,Correlation,0.8629254726666671,0.5,0.27414905466666584
78,2,4,Correlation,0.8816240060000006,0.5,0.23675198799999886
79,2,5,Correlation,0.8522058593333337,0.5,0.2955882813333326
80,2,6,Correlation,0.8831899773333325,0.5,0.23362004533333502
81,2,7,Correlation,0.8497304126666674,0.5,0.30053917466666524
82,2,8,Correlation,0.8754433286666659,0.5,0.2491133426666683
83,2,9,Correlation,0.8575679639999987,0.5,0.28486407200000263
84,2,10,Correlation,0.8695685966666663,0.5,0.2608628066666674
85,2,11,Correlation,0.8461148373333347,0.5,0.3077703253333306
86,2,12,Correlation,0.8826393873333344,0.5,0.23472122533333128
87,2,13,Correlation,0.8441583593333339,0.5,0.3116832813333321
88,2,14,Correlation,0.86530283,0.5,0.26939434000000007
89,2,15,Correlation,0.8554455626666668,0.5,0.28910887466666635
90,2,16,Correlation,0.870091265999999,0.5,0.25981746800000205
91,2,17,Correlation,0.8427041100000001,0.5,0.31459177999999977
92,2,18,Correlation,0.8727368566666661,0.5,0.25452628666666777
93,2,20,Correlation,0.8691112439999994,0.5,0.2617775120000012
94,2,21,Correlation,0.8522013873333343,0.5,0.29559722533333144
95,2,23,Correlation,0.8408498306666656,0.5,0.31830033866666874
96,2,24,Correlation,0.8767502486666673,0.5,0.24649950266666543
97,2,26,Correlation,0.8588421446666665,0.5,0.28231571066666694
